16	16384	  0.1268	140.6553
32	16384	  0.1268	148.9727
64	16384	  0.1268	  0.8193
128	16384	  0.1309	 54.4165
16	32768	  0.1306	142.8633
32	32768	  0.1306	154.3039
64	32768	  0.1306	  1.8207
128	32768	  0.1325	 91.4826
16	65536	  0.1323	143.1560
32	65536	  0.1323	265.3002
64	65536	  0.1323	  2.9801
128	65536	  0.1329	115.3628
16	131072	  0.1325	143.1386
32	131072	  0.1325	226.6228
64	131072	  0.1325	 16.0790
128	131072	  0.1313	146.1192
16	262144	  0.1312	149.9262
32	262144	  0.1312	268.9970
64	262144	  0.1312	 11.9313
128	262144	  0.1311	204.7548
16	524288	  0.1312	158.4407
32	524288	  0.1312	253.9599
64	524288	  0.1312	 25.9874
128	524288	  0.1307	289.0276
16	1048576	  0.1304	214.7704
32	1048576	  0.1304	264.9337
64	1048576	  0.1307	 45.7384
128	1048576	  0.1307	376.1884
